카테고리,항목명,년도,분기,월,지역,자재비,인건비,간접비,총액,평수,건물유형,시공사,비고
주방,씽크대,2024,1,1,서울,700000,400000,100000,1200000,32,아파트,ABC건설,최고급 자재
주방,후드,2024,1,1,서울,250000,150000,50000,450000,32,아파트,ABC건설,
주방,식기세척기,2024,1,2,경기,600000,200000,100000,900000,35,빌라,XYZ인테리어,
바닥,강화마루,2024,1,2,서울,1500000,800000,200000,2500000,35,아파트,DEF시공,12T 강화마루
바닥,강화마루,2024,2,4,인천,1400000,750000,180000,2330000,30,빌라,GHI인테리어,
바닥,타일,2024,2,5,서울,1000000,650000,150000,1800000,28,아파트,ABC건설,욕실 타일
바닥,마루,2024,3,7,경기,1600000,850000,220000,2670000,38,주택,JKL건설,원목 마루
벽,벽지,2024,3,8,서울,400000,350000,50000,800000,32,아파트,MNO도배,실크벽지
벽,타일,2024,3,9,인천,800000,600000,100000,1500000,28,빌라,PQR타일,주방 타일
욕실,세면대,2024,4,10,서울,350000,200000,50000,600000,32,아파트,ABC건설,
욕실,욕조,2024,4,11,경기,800000,400000,150000,1350000,35,아파트,STU설비,원형 욕조
욕실,샤워부스,2024,4,12,서울,500000,300000,80000,880000,28,빌라,VWX인테리어,강화유리
조명,LED등,2025,1,1,서울,200000,100000,30000,330000,32,아파트,YZA전기,전체 교체
조명,스탠드,2025,1,2,경기,150000,80000,20000,250000,30,빌라,BCD조명,거실용
창호,유리창,2025,1,3,인천,900000,500000,150000,1550000,35,아파트,EFG창호,이중창
창호,방문,2025,2,4,서울,600000,350000,100000,1050000,32,주택,HIJ목공,원목 문
